City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kargopol',61.5071,38.9456,6.52,90,100,4.66,RU,1714189460
83,susuman,62.7833,148.1667,0.84,91,100,2.0,RU,1714189461
84,fukuecho,32.6881,128.8419,18.44,81,37,3.4,JP,1714189462
85,alice springs,-23.7,133.8833,21.57,22,68,4.9,AU,1714189464
86,pointe aux piments,-20.0628,57.5131,26.26,79,68,6.6,MU,1714189465
87,mchinji,-13.7984,32.8802,12.4,92,11,1.61,MW,1714189465
88,turkeli,41.9476,34.3386,14.11,94,100,1.06,TR,1714189466
89,hanzhong,33.0728,107.0303,23.83,63,100,3.13,CN,1714189467
90,manistee,44.2445,-86.3242,11.11,87,100,8.04,US,1714189467
91,swan hill,-35.3378,143.5544,18.84,31,17,1.76,AU,1714189468
92,palo santo,-25.5633,-59.3378,23.16,70,9,2.39,AR,1714189469
93,aasiaat,68.7098,-52.8699,-4.52,99,63,0.7,GL,1714189333
94,invercargill,-46.4,168.35,10.94,91,100,5.3,NZ,1714189162
95,badger,64.8,-147.5333,9.65,66,69,2.61,US,1714189367
96,jiaojiang,28.6803,121.4428,22.2,83,82,2.52,CN,1714189471
97,pombas,17.1503,-25.0201,17.11,77,55,3.9,CV,1714189471
98,mount gambier,-37.8333,140.7667,16.42,44,99,1.0,AU,1714189472
99,palapag,12.5458,125.1147,32.13,63,78,4.85,PH,1714189474
100,ebaye,8.7748,167.7392,27.87,77,100,8.01,MH,1714189474
101,tolanaro,-25.0319,46.9987,22.09,90,7,1.36,MG,1714189319
102,grand falls-windsor,48.9332,-55.6649,-1.48,74,100,3.19,CA,1714189475
103,druzhny,53.6238,27.8977,5.82,85,16,1.47,BY,1714189476
104,chernyanka,50.9409,37.8069,15.14,91,100,1.57,RU,1714189477
105,yellowknife,62.456,-114.3525,-7.18,56,5,2.83,CA,1714189254
106,balykshi,47.0667,51.8667,21.83,26,100,7.34,KZ,1714189478
107,cidreira,-30.1811,-50.2056,21.97,96,100,2.51,BR,1714189479
108,crane,31.3974,-102.3501,23.87,12,0,4.8,US,1714189480
109,ribeira grande,38.5167,-28.7,13.6,68,72,7.58,PT,1714189326
110,christchurch,-43.5333,172.6333,13.32,53,8,3.59,NZ,1714188953
111,sunne,59.8376,13.143,0.94,91,85,1.51,SE,1714189481
112,zhanaozen,43.3,52.8,19.37,32,0,9.36,KZ,1714189482
113,vera,-29.4593,-60.2126,22.43,97,100,4.68,AR,1714189483
114,dalandzadgad,43.5708,104.425,5.33,74,100,6.47,MN,1714189483
115,yakutsk,62.0339,129.7331,-2.51,62,67,7.11,RU,1714189484
116,hamilton,39.1834,-84.5333,14.75,92,94,4.8,US,1714189330
117,dubinino,55.6192,89.0911,5.69,66,90,3.87,RU,1714189485
118,keflavik,64.0049,-22.5624,3.15,75,2,7.92,IS,1714189273
